,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Burkina Faso,BFA,0.11,0.32,3,60.22,41.4,73.12,-0.1,0.27,5,52.58,34.54,65.98,-0.07,0.27,5,57.36,35.53,66.5,0.01,0.26,5,59.09,41.41,71.21,-0.01,0.23,6,58.59,42.42,69.19,-0.14,0.2,8,53.17,37.07,60.49,-0.13,0.2,8,53.66,41.46,60,-0.31,0.15,12,43.9,34.63,56.1,-0.33,0.16,12,46.6,33.5,55.34,-0.3,0.15,13,47.09,34.95,55.83,-0.34,0.15,13,44.98,31.58,55.98,-0.35,0.15,13,43.81,31.9,55.24,-0.37,0.15,14,43.6,31.28,54.5,-0.48,0.14,15,37.91,27.96,49.76,-0.52,0.13,15,36.49,24.64,46.45,-0.46,0.13,14,38.46,28.85,50,-0.28,0.14,14,48.08,36.54,55.77,-0.15,0.14,14,52.4,42.31,59.13,-0.11,0.13,14,53.37,44.71,59.13
Bangladesh,BGD,-0.97,0.26,4,17.74,2.69,34.95,-0.72,0.22,5,30.93,12.89,43.81,-1.11,0.2,7,10.66,2.54,26.4,-1.36,0.18,7,2.02,0,11.11,-1.44,0.18,8,2.02,0,9.09,-1.5,0.17,10,1.46,0,9.27,-1.39,0.17,10,3.41,0,13.17,-1.43,0.16,12,3.41,0,9.27,-1.06,0.16,13,13.59,5.34,21.36,-1.03,0.16,13,15.05,4.37,23.79,-1.07,0.16,13,13.88,3.83,22.97,-1.06,0.16,14,14.76,3.81,21.9,-1.09,0.15,15,14.22,4.27,20.38,-0.85,0.14,15,21.33,12.32,31.28,-0.89,0.14,14,20.85,11.85,28.91,-0.89,0.14,13,19.23,12.5,29.81,-0.81,0.14,13,22.12,13.46,31.73,-0.86,0.14,12,18.75,12.02,31.73,-0.83,0.13,12,19.23,13.46,29.81
Bulgaria,BGR,-0.36,0.26,4,44.62,25.27,59.14,-0.17,0.19,6,50.52,36.6,61.34,-0.13,0.18,8,53.81,39.09,61.42,-0.15,0.16,8,53.03,41.92,60.61,-0.03,0.16,9,58.08,46.46,62.12,0.11,0.15,10,58.05,52.68,65.85,0.06,0.14,10,58.05,52.2,63.9,-0.07,0.13,14,56.1,46.34,60,-0.18,0.13,14,52.43,39.81,57.77,-0.25,0.13,14,49.51,37.86,55.83,-0.21,0.13,14,52.63,40.19,59.33,-0.19,0.13,14,53.33,41.9,58.1,-0.22,0.13,15,51.66,40.28,57.35,-0.23,0.12,15,51.18,41.23,58.29,-0.27,0.12,14,48.82,39.81,56.87,-0.25,0.12,14,50.48,38.94,55.29,-0.26,0.12,14,49.52,38.94,55.77,-0.17,0.13,13,50.96,42.79,59.13,-0.16,0.12,13,50.96,44.23,58.17
Bahrain,BHR,0.33,0.31,3,63.98,50.54,77.42,0.27,0.27,3,63.92,50.52,76.8,0.38,0.29,3,68.02,54.82,79.19,0.82,0.21,4,79.29,71.72,84.34,0.4,0.23,5,70.71,58.59,76.77,0.45,0.2,6,70.24,58.05,75.61,0.39,0.19,6,66.34,58.05,73.17,0.19,0.21,6,61.46,53.17,71.71,0.18,0.21,6,60.68,52.91,72.33,0.19,0.21,6,62.14,53.4,72.82,0.19,0.19,8,63.64,55.5,71.29,0.18,0.18,8,63.33,54.29,71.43,0.22,0.18,8,63.98,55.92,70.62,0.37,0.17,8,67.77,60.66,72.51,0.43,0.18,8,68.72,62.56,73.93,0.28,0.17,7,63.94,57.69,70.19,0.14,0.17,6,61.06,53.37,66.83,-0.02,0.18,6,57.69,45.67,64.9,-0.14,0.16,5,51.92,42.31,59.62
"Bahamas, The",BHS,1.16,0.42,2,83.87,69.89,93.01,1.34,0.43,2,86.08,74.74,94.33,1.35,0.43,2,86.8,74.62,94.42,1.46,0.37,2,89.9,79.29,94.95,1.45,0.36,2,90.4,78.28,95.45,1.43,0.34,2,91.71,79.51,95.12,1.34,0.3,2,89.27,79.02,93.17,1.35,0.35,2,90.24,76.59,94.63,1.34,0.36,2,89.32,74.27,93.69,1.34,0.35,2,89.32,74.27,94.66,1.37,0.27,3,88.52,78.95,93.78,1.35,0.26,3,88.57,79.52,93.33,1.35,0.26,3,89.1,78.67,93.36,1.32,0.22,3,87.68,80.57,92.89,1.34,0.23,3,88.63,80.57,93.36,1.31,0.21,3,88.46,79.81,92.31,1.14,0.18,4,83.17,76.92,89.9,1.11,0.19,4,81.73,76.92,90.38,1.17,0.16,4,83.65,80.77,89.42
Bosnia and Herzegovina,BIH,-0.27,0.28,3,48.92,28.49,60.75,-0.38,0.19,5,42.78,31.44,54.12,-0.56,0.19,6,33.5,21.83,47.72,-0.4,0.17,6,42.93,31.31,53.54,-0.3,0.17,7,46.46,33.84,58.08,-0.34,0.15,10,44.88,31.22,54.15,-0.24,0.15,10,50.73,40,56.1,-0.3,0.15,11,44.39,35.61,56.1,-0.38,0.15,12,41.26,31.07,54.37,-0.36,0.14,12,42.72,32.52,53.88,-0.38,0.15,12,42.58,29.19,54.07,-0.34,0.14,12,44.76,32.38,55.24,-0.32,0.15,11,47.87,33.65,55.92,-0.3,0.13,14,47.39,36.02,56.4,-0.24,0.14,13,50.24,39.81,59.24,-0.31,0.15,12,47.6,34.13,54.33,-0.39,0.14,13,43.27,31.25,52.88,-0.46,0.15,12,37.02,26.92,50,-0.52,0.14,12,37.02,23.56,45.67
Belarus,BLR,-0.39,0.34,2,42.47,17.74,60.75,-0.43,0.22,5,41.75,25.77,54.64,-0.38,0.22,6,42.64,27.92,57.36,-0.7,0.21,6,30.81,11.62,43.43,-0.59,0.19,7,33.84,18.18,46.97,-0.8,0.18,7,23.41,12.2,35.61,-0.75,0.17,7,23.9,15.61,40,-0.62,0.16,9,31.71,19.51,41.95,-0.66,0.16,9,29.61,18.45,40.29,-0.63,0.15,11,32.04,19.42,41.26,-0.63,0.15,11,29.19,20.1,42.58,-0.69,0.15,11,27.14,17.62,40,-0.68,0.15,10,27.01,18.48,40.28,-0.52,0.13,12,36.49,27.01,46.92,-0.47,0.13,12,39.81,27.49,48.82,-0.3,0.13,11,48.08,35.58,54.33,-0.34,0.13,11,46.63,33.17,54.33,-0.26,0.14,11,48.56,36.54,56.25,-0.26,0.13,11,47.12,40.87,54.81
Belize,BLZ,-0.03,0.48,1,56.45,25.27,76.34,-0.09,0.38,2,53.61,30.93,71.65,-0.18,0.34,2,52.79,27.92,67.51,-0.24,0.34,2,48.99,26.26,67.17,-0.09,0.32,2,56.06,32.32,71.72,-0.29,0.29,3,48.29,25.37,60.49,-0.3,0.28,3,48.78,23.9,58.05,-0.36,0.26,4,41.95,23.9,59.02,-0.37,0.25,5,42.72,22.82,58.25,-0.34,0.24,6,43.69,26.7,59.22,-0.05,0.24,6,57.42,40.19,67.94,-0.11,0.24,6,55.24,37.62,63.81,-0.33,0.22,7,46.92,26.07,57.35,-0.14,0.25,6,54.5,35.07,64.45,-0.1,0.25,6,54.98,37.44,65.4,-0.2,0.2,6,51.92,35.1,59.13,-0.22,0.2,7,51.92,33.17,60.58,-0.24,0.2,6,49.52,32.21,59.62,-0.27,0.21,4,46.15,29.81,58.65
Bermuda,BMU,1.32,0.48,1,87.1,72.04,96.77,1.38,0.46,1,89.18,74.74,96.91,1.36,0.47,1,88.83,73.1,95.43,1.35,0.44,1,88.38,74.75,95.45,1.38,0.4,1,88.89,76.26,94.95,1.33,0.4,1,87.8,75.12,95.12,1.28,0.34,1,88.29,73.66,93.17,1.26,0.42,1,88.29,72.2,94.63,1.27,0.42,1,88.83,72.33,93.69,1.29,0.4,1,87.86,73.79,94.66,1.33,0.43,1,88.04,72.73,95.22,1.31,0.43,1,88.1,72.38,94.76,1.28,0.42,1,88.15,72.04,94.79,1.27,0.43,1,87.2,71.56,95.26,1.26,0.44,1,86.73,70.14,95.73,1.23,0.42,1,87.02,69.23,95.19,1.22,0.42,1,87.02,68.27,95.19,1.23,0.42,1,87.5,68.75,94.71,1.24,0.4,1,86.54,70.67,95.19
Bolivia,BOL,-0.82,0.26,4,25.27,6.45,41.94,-0.36,0.22,5,44.33,30.93,54.64,-0.46,0.21,6,37.06,26.4,53.81,-0.9,0.19,7,21.72,6.06,32.32,-0.82,0.18,8,23.23,10.1,35.35,-0.78,0.16,12,24.88,14.15,35.61,-0.74,0.17,12,24.88,16.59,40.98,-0.43,0.15,14,39.02,28.78,52.68,-0.4,0.16,14,39.81,28.64,53.88,-0.52,0.16,14,35.92,23.79,48.54,-0.63,0.16,14,28.71,20.1,43.06,-0.47,0.16,15,39.05,25.71,52.38,-0.57,0.15,16,34.12,21.33,46.92,-0.73,0.14,16,27.01,17.06,37.44,-0.59,0.14,15,34.6,21.8,44.08,-0.63,0.14,14,30.29,20.19,42.79,-0.7,0.14,14,26.92,17.31,38.46,-0.72,0.14,14,25,14.9,35.1,-0.66,0.13,13,27.88,18.27,41.83
Brazil,BRA,-0.02,0.21,6,56.99,44.09,63.44,0.08,0.18,7,58.76,48.97,67.53,0.04,0.19,7,58.88,47.21,65.99,0.08,0.17,8,60.61,49.49,68.18,0.09,0.17,9,61.11,52.02,69.19,0.02,0.15,11,56.59,50.24,62.93,-0.14,0.15,11,52.68,42.93,58.05,-0.11,0.14,15,54.15,42.44,60,-0.08,0.15,14,55.34,47.09,60.19,0.01,0.15,14,59.22,50.49,63.11,-0.07,0.15,15,56.46,45.45,62.68,0.05,0.15,16,60,52.86,64.29,0.17,0.14,17,63.03,55.92,68.25,-0.04,0.13,16,58.29,49.76,62.56,-0.08,0.13,16,55.92,46.45,62.09,-0.34,0.13,13,46.63,34.13,52.88,-0.4,0.13,13,42.79,31.25,52.88,-0.38,0.13,15,42.79,32.21,50.96,-0.53,0.12,14,36.06,24.52,44.71
Barbados,BRB,1.54,0.34,2,90.86,81.18,96.77,1.59,0.33,2,91.24,82.47,96.91,1.57,0.36,2,91.37,83.25,95.94,1.53,0.36,2,90.91,81.82,95.96,1.54,0.33,2,91.41,81.82,96.97,1.43,0.31,3,91.22,81.46,95.12,1.42,0.28,3,90.73,80,94.15,1.33,0.26,4,89.76,79.02,92.2,1.41,0.27,4,91.26,79.13,93.2,1.37,0.26,3,89.81,78.64,93.2,1.38,0.23,4,89.95,80.38,93.3,1.48,0.23,4,90,82.86,93.81,1.72,0.23,4,92.89,88.15,96.21,1.66,0.24,4,92.42,85.31,95.73,1.62,0.24,4,91.47,83.41,95.73,1.14,0.24,4,82.69,74.52,90.87,1.49,0.21,4,90.38,83.17,92.79,1.26,0.2,5,87.98,80.77,91.83,1.42,0.21,4,89.42,82.21,92.31
Brunei Darussalam,BRN,0.48,0.42,2,71.51,49.46,83.87,0.38,0.43,2,67.53,44.85,82.47,0.37,0.43,2,67.01,44.16,84.26,0.31,0.37,2,65.66,46.97,80.81,0.32,0.36,2,66.16,46.97,80.3,0.41,0.34,2,68.29,51.71,81.95,0.25,0.3,2,62.44,49.76,73.66,0.21,0.35,2,61.95,41.95,74.15,0.21,0.36,2,62.14,41.75,76.7,0.49,0.27,4,71.36,59.22,78.64,0.99,0.23,5,79.9,72.25,88.04,0.86,0.22,5,78.1,71.43,85.24,0.86,0.22,5,77.25,70.62,84.36,0.55,0.21,4,71.56,63.03,77.25,0.65,0.21,4,72.99,64.93,81.04,0.53,0.21,3,69.71,61.06,78.85,0.57,0.21,3,69.23,62.98,78.85,0.57,0.19,5,70.19,64.42,79.33,0.71,0.16,5,75,66.35,81.25
Bhutan,BTN,0.94,0.34,2,81.18,66.13,90.32,1,0.3,3,82.47,70.1,90.72,0.99,0.27,4,83.76,72.59,89.85,1.04,0.29,4,83.33,73.23,90.4,1.09,0.27,4,82.83,75.25,90.91,0.8,0.25,6,76.59,66.34,85.37,0.82,0.22,7,78.05,67.32,83.9,0.82,0.23,7,77.56,69.76,84.88,0.88,0.23,7,77.67,71.36,85.92,0.86,0.22,7,77.67,71.36,84.95,0.91,0.2,8,77.99,72.25,85.65,0.91,0.2,8,79.05,72.38,85.24,0.84,0.19,8,76.78,70.62,83.89,0.94,0.2,8,78.67,72.04,87.2,0.9,0.19,10,77.73,70.62,83.41,1.28,0.19,9,87.5,79.81,91.35,1.02,0.19,9,82.21,75.48,89.42,1.13,0.19,9,82.21,76.92,90.38,1.57,0.19,8,91.83,87.5,95.19
South Sudan,SSD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.82,0.74,1,21.43,0,69.05,-1.4,0.31,4,3.32,0,19.91,-1.28,0.22,7,5.21,0,18.96,-1.38,0.23,8,3.79,0,15.64,-1.59,0.2,9,0.96,0,8.17,-1.69,0.2,10,0.48,0,4.81,-1.71,0.2,9,0.48,0,5.77,-1.71,0.2,9,0.96,0,6.25
Botswana,BWA,0.82,0.26,4,77.42,66.13,84.95,0.89,0.21,6,79.9,71.65,85.05,0.83,0.22,6,78.68,70.56,85.28,0.66,0.18,8,75.76,68.18,81.82,1.22,0.18,9,84.85,81.31,90.91,0.9,0.16,10,80.49,73.66,84.88,1.16,0.16,10,83.9,79.02,90.73,0.97,0.15,12,80,74.15,84.88,1,0.16,12,80.1,74.27,85.92,1.04,0.15,12,82.04,74.27,84.95,0.96,0.16,12,79.43,72.73,84.69,1.03,0.15,12,81.9,74.29,85.71,1,0.15,12,79.62,72.99,85.31,0.93,0.14,13,78.2,73.46,83.41,0.92,0.14,14,79.15,73.93,82.94,0.85,0.13,13,78.37,72.12,81.73,0.85,0.13,15,77.4,71.63,82.21,0.93,0.14,14,80.77,74.52,83.17,0.8,0.13,14,78.85,71.15,81.73
Central African Republic,CAF,-1.14,0.34,2,11.29,0,32.26,-1.01,0.28,4,15.46,0.52,34.54,-1.18,0.27,4,8.12,0,27.92,-1.09,0.28,4,10.61,0,32.32,-1.16,0.24,5,9.09,0.51,24.75,-1.39,0.21,6,3.9,0,14.15,-1.28,0.21,6,8.29,0,18.05,-1.21,0.21,6,8.29,0.98,19.51,-1.19,0.21,7,8.25,1.46,19.9,-1.12,0.22,6,11.65,2.43,25.24,-0.98,0.18,9,18.18,5.74,26.79,-0.93,0.18,9,18.1,7.62,30,-0.95,0.18,9,18.48,6.16,28.91,-0.99,0.19,9,16.59,4.74,28.44,-1.09,0.19,10,12.32,3.32,22.27,-1.16,0.18,10,11.06,2.88,20.19,-1.31,0.18,9,6.73,1.44,13.46,-1.28,0.18,10,8.65,1.92,13.46,-1.17,0.18,10,11.54,4.81,17.79
Canada,CAN,2.03,0.21,6,96.24,91.4,100,2.09,0.19,6,95.36,92.27,100,2.12,0.2,6,95.43,92.39,100,2.03,0.18,6,94.44,91.92,98.99,1.99,0.19,6,94.44,91.41,98.48,1.83,0.17,7,92.2,91.71,97.07,1.88,0.17,7,93.66,92.2,97.56,1.96,0.16,10,95.61,91.71,98.54,2,0.16,11,95.15,91.75,98.54,2,0.16,11,95.63,92.23,98.06,2.06,0.17,11,96.65,93.78,99.04,2.07,0.17,11,96.19,93.33,99.52,1.98,0.16,12,95.26,92.42,99.05,1.93,0.15,12,95.26,92.89,97.63,1.89,0.15,11,95.26,91.94,97.16,1.84,0.14,11,94.23,91.83,95.67,1.89,0.14,11,95.19,92.79,97.12,1.99,0.15,10,96.15,92.79,99.04,1.92,0.13,10,95.67,92.31,98.08
Switzerland,CHE,1.99,0.21,6,95.7,91.4,100,2.11,0.19,6,95.88,92.27,100,2.11,0.2,6,94.92,92.39,100,2.11,0.18,6,95.96,92.42,99.49,2.07,0.19,6,96.97,92.42,98.99,2.01,0.17,7,96.1,91.71,98.05,2.02,0.17,7,97.07,92.68,99.02,2.09,0.18,8,96.59,92.68,99.02,2.15,0.19,8,96.6,93.2,100,2.12,0.18,8,97.09,93.2,100,2.07,0.17,9,97.13,93.78,99.04,2.07,0.17,9,96.67,93.33,99.52,2.04,0.17,9,95.73,93.36,99.53,2.15,0.16,9,97.63,94.31,100,2.13,0.17,9,97.63,94.79,99.53,2.15,0.16,9,97.6,95.19,100,2.14,0.16,9,97.6,93.75,100,1.99,0.16,9,95.67,92.79,99.52,1.99,0.15,9,96.63,92.31,99.04
Chile,CHL,1.45,0.21,6,90.32,81.18,93.01,1.38,0.18,7,89.69,82.47,92.27,1.59,0.19,7,91.88,85.79,93.4,1.59,0.17,8,91.41,85.86,92.42,1.31,0.17,9,85.86,81.82,91.41,1.37,0.16,10,89.76,83.9,91.71,1.47,0.15,11,91.22,84.39,92.68,1.46,0.14,14,91.22,84.88,91.71,1.4,0.15,14,90.78,84.47,91.75,1.38,0.15,14,90.78,83.01,91.75,1.38,0.15,14,89.47,84.21,91.39,1.5,0.16,14,90.48,85.24,92.86,1.53,0.15,14,90.05,88.15,93.36,1.58,0.14,14,91,88.63,93.84,1.54,0.14,14,90.52,87.68,93.36,1.49,0.13,13,90.87,87.02,92.79,1.28,0.13,13,87.5,82.21,90.38,1.14,0.13,14,82.69,79.81,89.42,1.04,0.13,13,82.21,79.81,87.02
China,CHN,-0.27,0.19,7,48.39,32.26,58.6,-0.27,0.17,8,46.39,34.54,54.64,-0.22,0.16,8,49.24,36.04,58.88,-0.52,0.16,8,35.35,26.77,47.47,-0.36,0.15,9,44.95,32.32,55.56,-0.56,0.14,11,34.63,23.9,44.88,-0.61,0.14,11,33.17,20.98,43.41,-0.51,0.13,12,37.07,26.34,45.37,-0.59,0.14,13,33.5,19.9,43.2,-0.52,0.14,13,36.41,25.24,48.06,-0.51,0.13,13,36.84,24.88,48.33,-0.56,0.13,14,33.33,21.9,44.29,-0.51,0.14,15,37.91,23.22,49.29,-0.44,0.13,15,40.28,29.86,51.18,-0.36,0.13,14,44.55,35.07,54.03,-0.34,0.12,12,45.67,34.62,52.88,-0.28,0.12,12,48.56,37.5,54.81,-0.25,0.13,13,49.04,36.54,56.25,-0.27,0.12,13,46.63,40.87,54.81
Côte d'Ivoire,CIV,-0.26,0.26,4,49.46,29.57,60.75,-0.47,0.21,6,37.11,24.74,51.55,-0.68,0.22,6,29.95,13.71,44.67,-0.77,0.2,6,27.27,10.61,39.9,-0.98,0.2,7,14.14,5.56,30.81,-1.21,0.18,8,10.24,0.98,18.05,-1.24,0.18,8,9.27,0.98,17.56,-1.2,0.17,9,8.78,1.95,19.02,-1.09,0.17,8,12.62,3.88,20.87,-1.11,0.16,10,12.62,3.88,19.42,-1.1,0.16,12,12.44,3.35,20.1,-1.16,0.16,12,11.43,2.38,19.05,-1.01,0.15,13,16.59,5.69,23.22,-0.83,0.14,14,21.8,14.22,31.75,-0.74,0.13,15,26.07,17.06,36.97,-0.42,0.13,14,42.31,29.81,51.44,-0.43,0.13,15,41.35,29.33,52.4,-0.53,0.13,15,33.17,23.56,45.67,-0.52,0.13,14,36.54,24.52,44.71
Cameroon,CMR,-1.33,0.26,4,3.76,0,18.82,-1.22,0.21,6,7.73,0.52,22.16,-1.19,0.22,6,7.11,0,25.38,-1.17,0.2,6,7.58,0,24.24,-0.98,0.18,8,14.65,5.56,28.79,-1.11,0.17,9,11.71,3.41,21.95,-1.18,0.16,10,11.22,1.95,18.05,-1.09,0.15,12,13.66,5.37,20,-1.02,0.15,13,16.5,6.8,23.3,-1.02,0.15,13,15.53,4.85,24.27,-1,0.16,13,17.22,5.74,24.88,-1.06,0.16,13,14.29,3.81,21.9,-1.15,0.14,15,12.32,3.32,18.96,-1.26,0.14,15,8.06,0.95,15.17,-1.21,0.13,15,9.95,1.9,16.11,-1.16,0.13,15,10.58,4.81,15.38,-1.07,0.13,15,12.98,7.69,19.23,-1.15,0.13,15,11.54,6.25,15.38,-1.18,0.13,14,11.06,6.25,14.9
"Congo, Rep.",COG,-0.86,0.32,3,23.12,3.23,45.7,-1.27,0.27,5,4.64,0,24.74,-1.12,0.27,5,10.15,0,29.44,-0.99,0.26,5,16.16,1.01,33.84,-1.01,0.26,5,12.12,2.53,33.84,-0.93,0.22,6,17.56,7.8,33.66,-1.04,0.18,8,15.61,4.88,23.9,-1.1,0.18,9,11.71,3.9,21.95,-1.15,0.18,9,9.71,2.91,19.9,-1.18,0.18,9,9.22,2.43,19.42,-1.2,0.17,9,8.61,1.44,19.14,-1.15,0.17,9,12.38,2.38,20,-1.12,0.17,9,12.8,3.32,20.38,-1.21,0.16,10,10.43,0.95,18.01,-1.15,0.16,11,10.9,1.9,20.85,-1.18,0.16,11,10.1,3.85,16.83,-1.2,0.15,11,10.58,3.37,15.87,-1.19,0.16,11,10.58,4.81,15.38,-1.33,0.14,11,8.17,1.92,12.02
Cook Islands,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.23,0.63,1,63.45,25.38,85.28,0.18,0.7,1,62.12,18.18,85.86,0.09,0.74,1,60.61,10.1,85.35,0.11,0.84,1,57.56,8.78,91.71,0.57,0.67,1,71.22,37.07,92.68,0.6,0.76,1,72.68,30.73,93.17,1.05,0.75,1,82.52,51.94,98.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.58,0.6,1,33.01,0.48,69.38,-0.25,0.6,1,50,7.62,73.33,-0.23,0.6,1,51.18,8.06,72.99,-0.22,0.62,1,51.66,8.53,76.3,-0.22,0.68,1,50.71,4.27,77.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Colombia,COL,-0.51,0.21,6,36.56,23.12,50.54,-0.5,0.18,7,36.08,25.26,50,-0.4,0.19,7,40.61,29.44,54.82,-0.24,0.17,8,48.48,34.34,59.6,-0.18,0.17,9,52.53,40.4,61.11,-0.13,0.15,12,53.66,42.44,58.05,-0.13,0.15,13,53.17,43.41,58.05,-0.12,0.14,15,53.66,41.95,59.51,-0.22,0.15,16,51.46,37.86,57.77,-0.24,0.14,16,50.49,37.86,58.74,-0.31,0.15,16,46.89,33.97,56.46,-0.39,0.15,16,42.38,30.48,54.29,-0.29,0.14,17,49.29,36.97,55.92,-0.39,0.13,17,43.13,31.75,53.08,-0.41,0.13,16,42.18,31.75,53.55,-0.37,0.13,15,44.23,33.17,52.4,-0.3,0.13,15,47.6,36.54,54.81,-0.32,0.13,15,44.71,32.69,53.85,-0.37,0.12,15,43.75,31.73,50.48
Comoros,COM,-1,0.34,2,16.67,0.54,39.25,-1.23,0.28,4,7.22,0.52,28.35,-1.11,0.27,4,11.68,0,30.96,-0.9,0.28,4,22.22,1.52,41.41,-0.86,0.27,4,20.71,5.56,41.41,-0.9,0.24,5,19.51,8.29,35.61,-0.88,0.23,5,19.02,8.29,38.05,-0.7,0.24,5,28.29,12.2,44.39,-0.71,0.24,5,28.16,11.65,47.09,-0.79,0.24,5,22.82,7.77,40.29,-0.83,0.25,6,22.01,6.22,40.19,-0.81,0.25,6,21.9,7.62,41.9,-0.79,0.25,6,22.75,8.06,43.13,-0.78,0.25,6,23.7,10.43,43.13,-0.74,0.26,7,25.12,10.43,45.97,-0.61,0.25,7,31.73,13.94,51.44,-0.72,0.25,6,25.96,11.54,46.63,-0.67,0.22,7,29.33,13.46,45.67,-0.68,0.22,7,26.92,13.46,44.71
Cape Verde,CPV,1.14,0.44,1,83.33,69.35,93.01,0.56,0.33,3,72.68,55.15,84.02,0.63,0.32,3,74.62,59.9,84.77,0.57,0.27,5,73.74,61.11,82.32,0.59,0.26,5,74.75,61.62,81.82,0.46,0.22,6,70.73,57.07,77.56,0.56,0.23,6,70.24,59.02,80,0.81,0.21,7,77.07,70.73,84.39,0.89,0.21,7,79.13,72.33,84.95,0.87,0.2,7,78.16,72.82,84.47,0.87,0.2,7,77.51,72.25,84.69,0.86,0.19,8,77.62,71.9,84.29,0.9,0.19,8,78.67,72.04,84.36,0.87,0.19,8,77.25,71.56,83.89,0.84,0.19,9,77.25,70.14,82.94,0.94,0.19,9,79.33,70.67,87.02,0.95,0.19,10,79.81,73.08,87.02,0.87,0.19,10,78.85,69.23,84.13,0.84,0.18,10,80.29,69.71,82.69
Costa Rica,CRI,0.7,0.24,5,75.27,63.44,81.18,0.9,0.22,5,80.41,71.65,85.05,0.87,0.21,6,79.7,72.59,85.28,0.67,0.19,7,76.26,68.18,82.32,0.75,0.18,8,76.77,71.72,81.82,0.42,0.16,11,68.78,59.02,75.12,0.48,0.17,11,67.8,60.49,74.63,0.44,0.17,12,70.24,60.49,74.15,0.52,0.18,13,71.84,62.62,76.7,0.55,0.17,12,73.3,63.59,77.18,0.75,0.18,12,73.68,70.81,81.34,0.71,0.18,11,72.86,69.52,80.48,0.65,0.18,10,72.51,67.77,78.67,0.62,0.16,11,72.51,67.3,77.25,0.63,0.16,11,72.04,67.3,77.25,0.76,0.14,11,75,69.23,79.81,0.75,0.14,11,75.96,68.27,80.29,0.74,0.14,13,76.44,67.79,80.77,0.47,0.13,12,66.83,63.46,74.52
