,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Argentina,ARG,-0.1,0.21,6,53.76,38.71,62.9,-0.11,0.18,7,52.06,42.27,61.86,-0.19,0.19,7,50.25,35.53,61.42,-0.47,0.17,8,39.39,27.27,52.02,-0.48,0.17,9,38.38,26.77,50.51,-0.42,0.15,11,40,27.8,51.22,-0.39,0.15,11,43.41,30.73,52.68,-0.34,0.14,14,42.93,34.63,54.63,-0.34,0.15,14,45.15,33.5,54.85,-0.44,0.15,14,39.32,28.64,52.43,-0.44,0.15,16,39.71,26.79,52.63,-0.36,0.15,16,43.33,31.9,54.29,-0.37,0.14,17,44.08,32.7,54.03,-0.44,0.13,17,39.34,28.91,51.18,-0.43,0.13,16,40.28,29.38,51.66,-0.54,0.13,15,35.1,24.52,46.63,-0.55,0.13,15,33.65,24.04,46.63,-0.28,0.13,15,47.12,35.1,55.29,-0.26,0.12,15,47.6,40.87,54.81
Armenia,ARM,-0.47,0.34,2,38.17,15.05,59.14,-0.86,0.22,5,22.68,6.7,36.08,-0.76,0.22,6,27.41,10.15,39.09,-0.75,0.21,6,27.78,10.61,42.42,-0.57,0.19,7,34.85,19.7,47.98,-0.61,0.18,8,30.24,19.02,45.85,-0.67,0.16,9,29.27,17.56,42.44,-0.67,0.15,13,29.76,19.02,39.02,-0.74,0.15,13,25.73,17.96,36.89,-0.71,0.14,14,27.67,17.96,37.86,-0.62,0.14,14,29.67,20.1,42.11,-0.7,0.14,14,26.67,18.1,38.1,-0.66,0.14,14,28.91,19.91,40.28,-0.59,0.13,15,33.65,22.75,43.13,-0.53,0.14,14,36.02,22.75,45.97,-0.52,0.14,14,36.06,25.96,48.56,-0.53,0.14,14,35.1,24.04,46.63,-0.57,0.14,12,32.69,21.63,43.75,-0.56,0.13,12,32.69,22.6,44.23
American Samoa,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.81,0.4,1,77.56,60,91.71,0.8,0.34,1,77.56,61.95,89.27,0.31,0.42,1,65.37,40.49,80,0.31,0.42,1,66.5,42.23,79.13,0.33,0.4,1,66.02,44.17,80.58,0.35,0.43,1,68.42,43.06,81.34,0.33,0.43,1,67.14,42.38,81.9,0.32,0.42,1,66.82,43.6,79.62,0.31,0.43,1,65.88,42.65,81.04,0.31,0.44,1,65.4,41.23,81.04,1.23,0.42,1,87.02,69.23,95.19,1.22,0.42,1,87.02,68.27,95.19,1.23,0.42,1,87.5,68.75,94.71,1.84,0.4,1,93.75,83.65,100
Antigua and Barbuda,ATG,0.87,0.48,1,80.11,59.14,91.4,0.92,0.46,1,81.96,61.34,92.27,0.9,0.47,1,82.23,61.42,92.39,0.88,0.44,1,80.81,61.11,91.41,0.89,0.4,1,80.3,62.12,91.41,0.86,0.37,2,79.51,61.46,91.71,0.75,0.33,2,74.63,60.49,88.29,1.13,0.39,2,84.39,71.22,92.2,1.15,0.39,2,84.95,71.36,93.2,1.29,0.4,1,87.86,73.79,94.66,1.33,0.43,1,88.04,72.73,95.22,1.31,0.43,1,88.1,72.38,94.76,1.28,0.42,1,88.15,72.04,94.79,1.27,0.43,1,87.2,71.56,95.26,1.26,0.44,1,86.73,70.14,95.73,0.64,0.42,1,74.04,55.29,88.94,0.69,0.27,2,75.48,63.46,83.17,0.69,0.27,2,74.52,64.42,82.21,0.24,0.27,2,62.98,49.04,74.04
Australia,AUS,1.88,0.21,6,93.55,90.32,99.46,1.85,0.19,6,92.78,90.72,97.42,1.92,0.2,6,93.91,91.88,97.97,1.81,0.16,7,92.42,90.91,95.45,1.95,0.17,7,93.94,91.41,97.47,2.03,0.16,7,96.59,91.71,98.05,1.95,0.15,7,95.61,92.68,98.05,1.96,0.16,8,95.12,91.71,98.54,2.01,0.17,8,95.63,91.75,98.54,2.04,0.17,8,96.12,93.2,98.54,2.05,0.15,9,96.17,93.78,99.04,2.03,0.15,10,95.24,93.33,98.57,2.04,0.15,11,96.21,93.36,99.53,1.99,0.14,11,95.73,93.36,97.63,1.79,0.14,11,93.84,91,95.73,1.85,0.13,11,95.19,92.31,95.67,1.88,0.13,11,94.23,92.79,97.12,1.82,0.14,11,93.27,92.31,96.63,1.8,0.13,11,92.79,91.83,96.63
Austria,AUT,1.73,0.21,6,92.47,89.25,96.24,1.85,0.19,6,93.3,90.72,97.42,1.81,0.2,6,92.89,90.36,95.94,1.97,0.18,6,93.94,91.41,97.98,2.02,0.19,6,94.95,91.92,98.48,2.05,0.17,7,97.07,91.71,98.54,1.92,0.17,7,95.12,92.2,98.05,1.91,0.18,8,94.63,91.71,98.54,2.01,0.19,8,96.12,91.75,98.54,1.84,0.18,8,93.69,91.75,97.09,1.7,0.17,9,92.82,89.95,94.74,1.59,0.17,9,91.9,86.19,93.81,1.43,0.16,10,89.57,83.89,92.42,1.39,0.15,10,89.1,83.41,91.94,1.55,0.15,10,91,87.2,93.84,1.47,0.14,9,90.38,87.02,92.79,1.52,0.14,9,90.87,87.5,92.79,1.55,0.15,9,91.35,89.42,92.79,1.53,0.14,9,90.87,88.46,92.31
Azerbaijan,AZE,-1.45,0.28,3,2.69,0,17.2,-1.3,0.19,6,4.12,0.52,15.46,-1.3,0.18,8,4.57,0,15.23,-1.18,0.17,8,7.07,0,21.21,-1.01,0.17,9,12.63,5.56,26.77,-1.16,0.16,10,10.73,3.41,19.51,-1.04,0.14,11,15.12,7.8,22.44,-1.09,0.15,13,12.68,5.37,20,-1.12,0.15,13,10.68,3.88,19.42,-1.15,0.14,13,11.17,3.88,17.96,-1.19,0.14,14,9.57,1.91,18.18,-1.24,0.13,14,6.67,1.9,16.19,-1.18,0.13,14,9.48,2.84,17.54,-1.13,0.13,14,11.85,3.32,18.96,-0.97,0.14,13,16.59,9.95,25.12,-1.02,0.14,12,14.42,8.65,23.08,-0.93,0.14,12,16.83,10.58,26.44,-0.84,0.14,12,19.23,12.5,32.21,-0.88,0.13,12,17.79,12.02,26.92
Burundi,BDI,-0.68,0.34,2,30.65,6.99,52.69,-0.78,0.28,4,27.84,6.7,44.85,-0.8,0.27,4,26.4,5.58,43.65,-0.82,0.28,4,25.25,3.54,43.94,-0.9,0.24,5,18.69,5.56,35.35,-0.89,0.21,6,20.49,8.78,34.63,-0.93,0.21,6,18.05,7.8,34.63,-1.1,0.18,9,12.2,3.9,21.95,-1.16,0.18,10,9.22,2.91,19.42,-1.09,0.17,10,13.11,3.88,21.84,-1.13,0.18,10,11.48,1.91,21.05,-1.17,0.18,10,10.95,1.9,20,-1.19,0.17,11,8.53,1.42,18.96,-1.45,0.17,12,1.42,0,10.43,-1.41,0.17,13,2.37,0,10.9,-1.26,0.17,12,8.65,2.88,14.9,-1.24,0.16,12,9.62,1.92,14.9,-1.23,0.17,12,10.1,4.33,13.94,-1.28,0.17,11,9.13,2.88,13.94
Belgium,BEL,1.36,0.21,6,88.71,81.18,91.4,1.36,0.19,6,87.11,82.47,92.27,1.5,0.2,6,90.86,84.77,92.89,1.5,0.18,6,90.4,84.34,91.92,1.42,0.19,6,89.9,82.83,91.92,1.38,0.18,6,90.24,83.9,91.71,1.39,0.17,6,90.24,82.93,92.68,1.31,0.18,7,88.78,80,91.71,1.36,0.19,7,89.81,82.04,91.75,1.37,0.19,7,90.29,82.04,91.75,1.46,0.17,8,90.91,84.21,92.82,1.53,0.18,8,90.95,85.24,93.33,1.58,0.16,9,91.94,88.15,93.84,1.61,0.15,10,91.47,88.63,94.31,1.67,0.15,10,92.89,89.57,95.73,1.57,0.14,10,91.35,88.94,93.27,1.57,0.14,10,91.83,89.42,92.79,1.64,0.15,10,92.79,89.9,93.75,1.5,0.13,10,89.9,87.5,92.31
Benin,BEN,-0.55,0.34,2,34.95,13.44,57.53,-0.54,0.28,4,35.05,15.46,53.61,-0.47,0.27,4,36.55,18.78,57.36,-0.73,0.28,4,29.29,6.06,47.47,-0.48,0.24,5,38.89,20.2,55.56,-0.46,0.21,6,37.56,22.93,53.66,-0.85,0.19,8,20.49,11.71,36.1,-0.59,0.15,12,33.66,20,42.93,-0.46,0.16,12,37.38,27.18,51.46,-0.5,0.15,12,36.89,24.76,49.51,-0.62,0.16,11,30.14,20.1,43.06,-0.66,0.16,11,30,18.1,41.9,-0.59,0.16,11,33.18,20.38,46.45,-0.86,0.17,11,20.85,11.37,33.65,-0.74,0.17,12,24.64,15.17,39.81,-0.67,0.18,11,29.81,15.38,43.75,-0.56,0.16,13,33.17,20.67,47.6,-0.52,0.17,13,33.65,22.12,49.04,-0.55,0.16,13,33.65,19.71,45.67
